#2804:24c0:8000::/33,budget:5000000
target:4999991,active:40,hitrate:8.00001440002592e-06,duration:1214.4397168159485

#240e:44d:6e40::/42,budget:5000000
target:4999993,active:3114,hitrate:0.0006228008719212207,duration:1153.1980607509613

#2001:579:e188::/46,budget:5000000
target:4999997,active:38,hitrate:7.600004560002736e-06,duration:1130.6702620983124

#2402:8100:272f::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1130.5037910938263

#2400:adc0:4110::/48,budget:5000000
target:4999997,active:2,hitrate:4.00000240000144e-07,duration:1099.763606786728

#2408:8456:a00::/44,budget:5000000
target:4999993,active:5403,hitrate:0.001080601512842118,duration:1094.750965833664

#240a:ac86::/32,budget:5000000
target:4999996,active:0,hitrate:0.0,duration:1138.4672224521637

#2a05:d050:6088::/46,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1133.0441229343414

#2804:dd4:4000::/40,budget:5000000
target:4999999,active:0,hitrate:0.0,duration:1145.5254049301147

#2401:4900:4df2::/48,budget:5000000
target:4999997,active:3,hitrate:6.00000360000216e-07,duration:1124.387612104416

#2001:1248:5f90::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1116.1685800552368

#2405:84c0:8d00::/40,budget:5000000
target:4999999,active:5,hitrate:1.00000020000004e-06,duration:1141.831864118576

#2408:8256:3577::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1118.620213508606

#2600:100e:b060::/44,budget:5000000
target:4999993,active:0,hitrate:0.0,duration:1134.3055403232574

#2803:f00:480::/42,budget:5000000
target:4999993,active:5,hitrate:1.00000140000196e-06,duration:1162.7537882328033

#2400:3ca0:8f::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1122.9757823944092

#2a02:848::/32,budget:5000000
target:4999996,active:4,hitrate:8.00000640000512e-07,duration:1078.3204288482666

#2a00:fb8:4b00::/40,budget:5000000
target:4999999,active:0,hitrate:0.0,duration:1168.3804771900177

#2804:3c80:1110::/44,budget:5000000
target:4999993,active:0,hitrate:0.0,duration:1153.7678008079529

#2402:8100:3856::/48,budget:5000000
target:4999997,active:1,hitrate:2.00000120000072e-07,duration:1112.617765903473

#2804:50::/32,budget:5000000
target:4999996,active:137,hitrate:2.7400021920017537e-05,duration:1072.8255729675293

#2806:10ae:9::/48,budget:5000000
target:4999997,active:1031,hitrate:0.00020620012372007422,duration:1145.3445422649384

#2409:8087:1f00::/40,budget:5000000
target:4999999,active:0,hitrate:0.0,duration:1135.1910169124603

#2804:df0:d00::/40,budget:5000000
target:4999999,active:0,hitrate:0.0,duration:1144.1513307094574

#2804:3294::/32,budget:5000000
target:4999996,active:63,hitrate:1.2600010080008064e-05,duration:1073.7996227741241

#2401:4900:3829::/48,budget:5000000
target:4999997,active:6,hitrate:1.200000720000432e-06,duration:1132.4245047569275

#2605:ef80:8010::/44,budget:5000000
target:4999993,active:4162137,hitrate:0.8324285653999915,duration:1179.9830808639526

#2409:8958:cc50::/46,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1154.9538924694061

#2804:2378::/32,budget:5000000
target:4999996,active:0,hitrate:0.0,duration:1172.3145840168

#2804:10b4:80::/43,budget:5000000
target:4999993,active:0,hitrate:0.0,duration:1204.7520105838776

#2a03:1e80:ffa::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1139.9653317928314

#2408:8456:cd20::/44,budget:5000000
target:4999993,active:245,hitrate:4.900006860009604e-05,duration:1176.1825776100159

#2600:9000:232d::/48,budget:5000000
target:4999997,active:4931572,hitrate:0.9863149917889951,duration:1178.039929151535

#2001:1248:5516::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1136.8092215061188

#2803:9800:5000::/41,budget:5000000
target:4999993,active:0,hitrate:0.0,duration:1185.5939438343048

#2600:9000:1157::/48,budget:5000000
target:4999997,active:206,hitrate:4.120002472001483e-05,duration:1087.7623047828674

#2a09:e981::/32,budget:5000000
target:4999996,active:0,hitrate:0.0,duration:1168.9841310977936

#2408:400e::/32,budget:5000000
target:4999996,active:71,hitrate:1.4200011360009089e-05,duration:1102.7243509292603

#2607:fd48:203::/48,budget:5000000
target:4999997,active:1,hitrate:2.00000120000072e-07,duration:1079.6083550453186

#2405:6e00:11a0::/43,budget:5000000
target:4999993,active:27,hitrate:5.400007560010584e-06,duration:1200.9471838474274

#2406:3003:204c::/48,budget:5000000
target:4999997,active:155,hitrate:3.100001860001116e-05,duration:1173.293249130249

#2001:fb1:86::/48,budget:5000000
target:4999997,active:12,hitrate:2.400001440000864e-06,duration:1178.5326266288757

#2a01:c50e:1000::/40,budget:5000000
target:4999999,active:0,hitrate:0.0,duration:1185.3891389369965

#240a:aad4::/32,budget:5000000
target:4999996,active:0,hitrate:0.0,duration:1208.610421180725

#2001:559:5c1::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1160.4813528060913

#2a01:c50f:30c0::/42,budget:5000000
target:4999993,active:0,hitrate:0.0,duration:1178.2785959243774

#2a0f:4240::/29,budget:5000000
target:4999996,active:6,hitrate:1.200000960000768e-06,duration:1222.5846309661865

#2804:5654:b000::/36,budget:5000000
target:4999991,active:0,hitrate:0.0,duration:1181.1037545204163

#2804:4e34::/33,budget:5000000
target:4999991,active:11,hitrate:2.200003960007128e-06,duration:1189.1975710391998

#2001:16a2:c1e8::/47,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1169.325038433075

#2001:1248:881c::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1134.1650502681732

#2a01:b740:1201::/48,budget:5000000
target:4999997,active:335,hitrate:6.700004020002413e-05,duration:1113.9900007247925

#2406:8800:9018::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1122.3131129741669

#2a02:2e02:89d0::/44,budget:5000000
target:4999993,active:0,hitrate:0.0,duration:1178.1927206516266

#2804:7d0:8000::/33,budget:5000000
target:4999991,active:0,hitrate:0.0,duration:1202.6180729866028

#2a0a:2c00::/29,budget:5000000
target:4999996,active:0,hitrate:0.0,duration:1188.640349149704

#2804:14d:688e::/48,budget:5000000
target:4999997,active:181,hitrate:3.6200021720013035e-05,duration:1128.47536444664

#2407:4ec0:3::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1124.9105381965637

#2001:559:50c::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1129.3985776901245

#2402:ecc0::/32,budget:5000000
target:4999996,active:0,hitrate:0.0,duration:1162.464632987976

#2a02:26f7:f88c::/48,budget:5000000
target:4999997,active:4931114,hitrate:0.9862233917340351,duration:1152.3548502922058

#2409:8904:3e60::/44,budget:5000000
target:4999993,active:0,hitrate:0.0,duration:1167.5055847167969

#2405:2400::/48,budget:5000000
target:4999997,active:5,hitrate:1.00000060000036e-06,duration:1137.1132719516754

#2402:8100:3976::/48,budget:5000000
